original_varname,acc_varname,groupid
*Concentration,*Concentration,CHAR
*sum,*sum,HERB
"4-5 colporat 20 mkm, psilat, schmetterlingsporen","4-5 colporat 20 mkm, psilat, schmetterlingsporen",NOPO
Abelia,Abelia,TRSH
ABIES,Abies,TRSH
Abies,Abies,TRSH
Abies alba,Abies,TRSH
Abies cilicica,Abies,TRSH
Abies nordmanniana,Abies,TRSH
Caryo. Trizoncolpate indet.,Abies,TRSH
Melia,Abies,TRSH
Abies-fargesii,Abies fargesii,TRSH
Abies marocana,Abies marocana,TRSH
Abies maroccana,Abies marocana,TRSH
Abies pinsapo,Abies pinsapo,TRSH
Abies sibirica,Abies sibirica,TRSH
Abies: stomata,Abies: stomata,MACR
ACACIA,Acacia,TRSH
Acacia,Acacia,TRSH
Acalypha,Acalypha,UPHE
Acanthaceae,Acanthaceae,HERB
Acanthus,Acanthus,HERB
Acanthus mollis,Acanthus,HERB
Acanthus-ilicifolium,Acanthus,HERB
Podosoma,"Acari, Oribatei",INVE
ACER,Acer campestre-type,TRSH
Acer,Acer campestre-type,TRSH
Acer campestre,Acer campestre-type,TRSH
Acer campestre type,Acer campestre-type,TRSH
Acer campestre type clumps,Acer campestre-type,TRSH
Acer campestre type clumps of two,Acer campestre-type,TRSH
Acer campestre-type,Acer campestre-type,TRSH
Acer pseudoplatanus,Acer campestre-type,TRSH
Acer turkestanica,Acer campestre-type,TRSH
Acer-type,Acer campestre-type,TRSH
Aceraceae,Acer campestre-type,TRSH
Aconitum,Aconitum,HERB
Aconitum T,Aconitum,HERB
Aconitum napellus-type,Aconitum,HERB
Aconitum septentrionale,Aconitum,HERB
Aconitum-group,Aconitum,HERB
Aconitum-type,Aconitum,HERB
Acorus,Acorus,HELO
Acritarchs,Acritarchs,ACRI
Acronychia,Acronychia,TRSH
Cimicifuga,Actaea,HERB
Cimicifuga foetida,Actaea,HERB
Souliea,Actaea,HERB
Actinidia,Actinidia,TRSH
Kiwi,Actinidia deliciosa,TRSH
Added exote (grains/ml),Added exote (grains/ml),NOPO
Adiantum,Adiantum capillus-veneris,VACR
Adina,Adina,TRSH
Adinandra,Adinandra,TRSH
Adonis,Adonis,HERB
Adonis-type,Adonis,INUN
Adonis aestivalis,Adonis aestivalis-type,HERB
Adonis aestivalis-type,Adonis aestivalis-type,HERB
Adonis annua-type,Adonis aestivalis-type,HERB
Adonis vernalis,Adonis vernalis,HERB
Adoxa,Adoxa moschatellina,HERB
Adoxa moschatellina,Adoxa moschatellina,HERB
Adoxaceae,Adoxaceae,HERB
Aegiceras,Aegiceras,TRSH
Aegiceras-corniculatum,Aegiceras corniculatum,TRSH
Aegopodium,Aegopodium podagraria,HERB
Aegopodium podagraria,Aegopodium podagraria,HERB
Aegopodium type,Aegopodium-type,UPHE
Aellenia-type,Aellenia-type,HERB
Aeschynanthus,Aeschynanthus,HERB
AESCULUS,Aesculus,TRSH
Aesculus,Aesculus,TRSH
Aesculus-wilsonii,Aesculus chinensis,TRSH
Aesculus hipocastanum,Aesculus hippocastanum,TRSH
Aesculus hippocastaneum,Aesculus hippocastanum,TRSH
Aesculus hippocastanum,Aesculus hippocastanum,TRSH
Aethusa cynapium-type,Aethusa cynapium,HERB
Aganosma,Aganosma,LIAN
Aglaia,Aglaia,TRSH
Agrimonia,Agrimonia/Aremonia,HERB
Agrimonia-type,Agrimonia/Aremonia,HERB
Agrostemma,Agrostemma githago,HERB
Agrostemma githago,Agrostemma githago,HERB
Randia-merrillii,Aidia henryi,TRSH
AILANTHUS,Ailanthus,TRSH
Ailanthus,Ailanthus,TRSH
Ailanthus altissima,Ailanthus,TRSH
Aizoaceae,Aizoaceae,HERB
Ajania,Ajania,HERB
Albizia,Albizia,TRSH
ALCHEMILLA,Alchemilla,HERB
Alchemilla,Alchemilla,HERB
