SampleName,Longitude,Latitude
AlbaSanchez_a1,-5.04162,36.66366
AlbaSanchez_a2,-5.05957,36.66343
AlbaSanchez_a3,-5.05044,36.66917
AlbaSanchez_a4,-5.01804,36.61151
AlbaSanchez_a5,-5.03367,36.66655
AlbaSanchez_a6,-5.02554,36.68877
AlbaSanchez_a7,-5.03423,36.6904
AlbaSanchez_a8,-5.03876,36.69814
AlbaSanchez_a9,-4.96761,36.70322
AlbaSanchez_a10,-4.96582,36.70322
AlbaSanchez_a11,-5.04177,36.64856
AlbaSanchez_a12,-5.03144,36.64856
AlbaSanchez_a13,-5.019,36.69548
AlbaSanchez_a14,-5.0167,36.69592
AlbaSanchez_a15,-5.01459,36.69353
AlbaSanchez_a16,-5.01851,36.70011
AlbaSanchez_a17,-5.02261,36.70214
AlbaSanchez_a18,-5.01423,36.71336
AlbaSanchez_a19,-5.01487,36.71097
AlbaSanchez_a20,-5.01623,36.70631
AlbaSanchez_a21,-5.0177,36.70521
AlbaSanchez_a23,-4.99694,36.67838
AlbaSanchez_a25,-4.98794,36.68781
AlbaSanchez_a26,-5.00165,36.6831
AlbaSanchez_a27,-5.01865,36.69101
AlbaSanchez_a28,-5.0395,36.69262
AlbaSanchez_a29,-4.98172,36.7439
AlbaSanchez_a30,-4.98415,36.7425
AlbaSanchez_a31,-5.00475,36.72546
AlbaSanchez_a32,-4.9841,36.72651
AlbaSanchez_a33,-4.99253,36.72632
AlbaSanchez_a34,-4.97169,36.73175
AlbaSanchez_a35,-4.96644,36.72254
AlbaSanchez_a36,-4.98044,36.71362
AlbaSanchez_a37,-4.98061,36.71267
AlbaSanchez_a38,-5.00146,36.71493
AlbaSanchez_a39,-4.99042,36.71856
AlbaSanchez_a40,-4.97122,36.71158
AlbaSanchez_a41,-4.97412,36.70599
AlbaSanchez_a42,-4.97777,36.70187
AlbaSanchez_a43,-4.98389,36.70257
AlbaSanchez_a44,-4.988,36.70203
AlbaSanchez_a45,-4.909311,36.619483
AlbaSanchez_a46,-5.43012,35.24113
AlbaSanchez_a47,-5.429297,35.241631
AlbaSanchez_a49,-5.103634,35.259856
AlbaSanchez_a50,-5.216593,35.184338
AlbaSanchez_a51,-4.50827,34.904032
AlbaSanchez_a52,-4.617827,34.909996
AlbaSanchez_a53,-4.653223,34.896955
AlbaSanchez_a54,-4.536485,34.907986
AlbaSanchez_a55,-4.611571,34.849704
AlbaSanchez_a57,-4.532196,34.840495
AlbaSanchez_a58,-4.761091,34.976196
AlbaSanchez_a59,-4.820689,34.992855
AlbaSanchez_a60,-4.871389,34.996671
AlbaSanchez_a61,-5.148185,35.142129
AlbaSanchez_a62,-5.152082,35.141913
AlbaSanchez_a63,-5.151044,35.139146
AlbaSanchez_a64,-5.303285,35.347574
AlbaSanchez_a65,-5.294552,35.346624
AlbaSanchez_a66,-5.292949,35.345739
AlbaSanchez_a67,-4.435739,34.819963
AlbaSanchez_a68,-4.46209,34.812419
AlbaSanchez_a69,-4.298583,34.848
AlbaSanchez_a70,-4.321148,34.859132
AlbaSanchez_a71,-4.328126,34.888293
AlbaSanchez_a72,-5.207276,33.424301
AlbaSanchez_a73,-5.240169,33.39468
AlbaSanchez_a74,-5.468365,32.956078
AlbaSanchez_a75,-5.337213,33.1899
AlbaSanchez_a76,-5.339239,33.172825
AlbaSanchez_a77,-5.346624,33.136528
AlbaSanchez_a78,-5.331323,32.897139
AlbaSanchez_a79,-5.269515,32.944753
AlbaSanchez_a80,-5.242167,32.947561
AlbaSanchez_a81,-5.370925,32.926501
AlbaSanchez_a82,-5.435338,32.943043
AlbaSanchez_a83,-5.496605,32.936991
AlbaSanchez_a84,-5.477006,32.942474
AlbaSanchez_a85,-5.36791,32.937865
AlbaSanchez_a86,-5.180248,32.849844
AlbaSanchez_a87,-5.237251,32.869999
AlbaSanchez_a88,-5.257908,32.885662
AlbaSanchez_a89,-4.918195,35.013695
